real,string,string,string
27,4.9_5.1,1.5_1.7,Iris-setosa
29,5.1_5.5,1.0_1.5,Iris-setosa
31,4.3_4.9,1.5_1.7,Iris-setosa
39,4.3_4.9,1.0_1.5,Iris-setosa
49,?,1.5_1.7,Iris-setosa
59,?,4.5_4.8,?
66,6.4_6.8,4.0_4.5,?
67,5.5_5.8,4.5_4.8,Iris-versicolor
89,5.5_5.8,4.0_4.5,Iris-versicolor
95,5.5_5.8,4.0_4.5,Iris-versicolor
101,?,5.7_6.969,Iris-virginica
127,6.1_6.4,4.8_5.2,Iris-virginica
128,6.1_6.4,4.8_5.2,Iris-virginica
4,4.3_4.9,?,Iris-setosa
5,4.9_5.1,1.0_1.5,Iris-setosa
46,4.3_4.9,1.0_1.5,Iris-setosa
52,6.4_6.8,4.5_4.8,Iris-versicolor
75,6.4_6.8,4.0_4.5,Iris-versicolor
82,5.5_5.8,1.7_4.0,Iris-versicolor
109,6.4_6.8,5.7_6.969,Iris-virginica
135,6.1_6.4,5.2_5.7,Iris-virginica
141,6.4_6.8,5.2_5.7,Iris-virginica
144,6.8_7.979,5.7_6.969,Iris-virginica
145,6.4_6.8,5.7_6.969,Iris-virginica
147,6.1_6.4,4.8_5.2,Iris-virginica
148,6.4_6.8,5.2_5.7,Iris-virginica
149,6.1_6.4,5.2_5.7,Iris-virginica
150,5.8_6.1,4.8_5.2,Iris-virginica
24,5.1_5.5,1.7_4.0,Iris-setosa
28,5.1_5.5,1.5_1.7,Iris-setosa
33,5.1_5.5,1.5_1.7,Iris-setosa
36,4.9_5.1,1.0_1.5,Iris-setosa
42,4.3_4.9,1.0_1.5,Iris-setosa
51,6.8_7.979,4.5_4.8,Iris-versicolor
56,5.5_5.8,4.5_4.8,Iris-versicolor
62,5.8_6.1,4.0_4.5,Iris-versicolor
78,6.4_6.8,?,Iris-versicolor
79,5.8_6.1,4.5_4.8,Iris-versicolor
86,5.8_6.1,4.5_4.8,Iris-versicolor
94,4.9_5.1,1.7_4.0,Iris-versicolor
96,5.5_5.8,4.0_4.5,Iris-versicolor
108,6.8_7.979,5.7_6.969,Iris-virginica
120,5.8_6.1,?,Iris-virginica
