CVP,HYPOVOLEMIA,LVFAILURE,ERRLOWOUTPUT,HREKG,HRSAT,ANAPHYLAXIS,EXPCO2,MINVOL,PVSAT,PAP,SHUNT,PRESS,MINVOLSET,VENTTUBE,VENTALV,CATECHOL,CO
NORMAL,FALSE,FALSE,FALSE,LOW,HIGH,FALSE,LOW,ZERO,LOW,LOW,HIGH,LOW,NORMAL,LOW,ZERO,HIGH,HIGH
NORMAL,TRUE,FALSE,FALSE,HIGH,HIGH,FALSE,HIGH,LOW,LOW,LOW,NORMAL,HIGH,NORMAL,NORMAL,LOW,HIGH,NORMAL
LOW,FALSE,TRUE,FALSE,HIGH,NORMAL,FALSE,LOW,ZERO,LOW,NORMAL,HIGH,LOW,NORMAL,LOW,ZERO,HIGH,LOW
LOW,FALSE,TRUE,FALSE,HIGH,HIGH,FALSE,LOW,ZERO,LOW,NORMAL,NORMAL,LOW,NORMAL,LOW,ZERO,HIGH,HIGH
NORMAL,FALSE,FALSE,FALSE,HIGH,HIGH,FALSE,LOW,ZERO,NORMAL,NORMAL,HIGH,LOW,NORMAL,LOW,ZERO,HIGH,HIGH
NORMAL,FALSE,FALSE,FALSE,HIGH,HIGH,FALSE,LOW,ZERO,LOW,NORMAL,NORMAL,NORMAL,NORMAL,LOW,ZERO,HIGH,HIGH
NORMAL,FALSE,FALSE,FALSE,HIGH,HIGH,FALSE,LOW,ZERO,LOW,NORMAL,NORMAL,HIGH,NORMAL,ZERO,ZERO,HIGH,HIGH
LOW,FALSE,FALSE,FALSE,HIGH,HIGH,FALSE,LOW,ZERO,LOW,NORMAL,NORMAL,NORMAL,NORMAL,LOW,ZERO,HIGH,HIGH
LOW,FALSE,TRUE,TRUE,LOW,LOW,FALSE,LOW,HIGH,HIGH,NORMAL,NORMAL,LOW,HIGH,HIGH,HIGH,NORMAL,LOW
NORMAL,FALSE,FALSE,FALSE,HIGH,HIGH,FALSE,LOW,ZERO,LOW,NORMAL,NORMAL,HIGH,NORMAL,ZERO,ZERO,HIGH,HIGH
LOW,FALSE,FALSE,FALSE,LOW,LOW,FALSE,LOW,ZERO,LOW,NORMAL,NORMAL,LOW,NORMAL,LOW,ZERO,HIGH,NORMAL
HIGH,TRUE,FALSE,FALSE,HIGH,HIGH,FALSE,LOW,ZERO,LOW,NORMAL,NORMAL,HIGH,NORMAL,LOW,ZERO,HIGH,HIGH
LOW,FALSE,FALSE,FALSE,HIGH,HIGH,FALSE,LOW,ZERO,LOW,NORMAL,NORMAL,HIGH,NORMAL,ZERO,ZERO,HIGH,HIGH
NORMAL,FALSE,FALSE,FALSE,LOW,LOW,FALSE,LOW,ZERO,LOW,HIGH,NORMAL,HIGH,NORMAL,LOW,ZERO,NORMAL,NORMAL
NORMAL,FALSE,FALSE,FALSE,HIGH,HIGH,FALSE,LOW,ZERO,LOW,LOW,NORMAL,ZERO,NORMAL,ZERO,ZERO,HIGH,HIGH
NORMAL,FALSE,FALSE,FALSE,HIGH,HIGH,FALSE,LOW,HIGH,HIGH,NORMAL,NORMAL,HIGH,NORMAL,LOW,HIGH,HIGH,HIGH
NORMAL,FALSE,FALSE,FALSE,HIGH,HIGH,FALSE,HIGH,LOW,LOW,NORMAL,NORMAL,HIGH,HIGH,NORMAL,LOW,HIGH,HIGH
NORMAL,FALSE,FALSE,FALSE,HIGH,HIGH,FALSE,LOW,ZERO,LOW,NORMAL,NORMAL,NORMAL,NORMAL,LOW,NORMAL,HIGH,HIGH
NORMAL,FALSE,FALSE,FALSE,HIGH,HIGH,FALSE,NORMAL,ZERO,LOW,NORMAL,NORMAL,HIGH,NORMAL,LOW,ZERO,HIGH,HIGH
HIGH,TRUE,FALSE,FALSE,NORMAL,HIGH,FALSE,LOW,HIGH,HIGH,NORMAL,NORMAL,HIGH,NORMAL,ZERO,HIGH,NORMAL,NORMAL
LOW,FALSE,TRUE,FALSE,HIGH,LOW,FALSE,HIGH,LOW,LOW,NORMAL,NORMAL,HIGH,NORMAL,NORMAL,LOW,HIGH,LOW
NORMAL,FALSE,FALSE,FALSE,HIGH,HIGH,FALSE,LOW,ZERO,LOW,NORMAL,NORMAL,LOW,NORMAL,LOW,ZERO,HIGH,HIGH
NORMAL,FALSE,FALSE,FALSE,HIGH,HIGH,FALSE,LOW,ZERO,LOW,NORMAL,NORMAL,HIGH,NORMAL,ZERO,ZERO,HIGH,HIGH
NORMAL,FALSE,FALSE,FALSE,HIGH,HIGH,FALSE,LOW,ZERO,LOW,NORMAL,NORMAL,HIGH,NORMAL,LOW,ZERO,HIGH,HIGH
NORMAL,FALSE,FALSE,FALSE,HIGH,HIGH,FALSE,LOW,ZERO,LOW,NORMAL,HIGH,LOW,NORMAL,LOW,ZERO,HIGH,HIGH
NORMAL,FALSE,FALSE,FALSE,HIGH,HIGH,FALSE,LOW,HIGH,HIGH,NORMAL,NORMAL,NORMAL,HIGH,HIGH,HIGH,HIGH,HIGH
NORMAL,FALSE,FALSE,FALSE,HIGH,HIGH,FALSE,LOW,HIGH,NORMAL,NORMAL,NORMAL,HIGH,NORMAL,ZERO,HIGH,HIGH,HIGH
NORMAL,FALSE,FALSE,FALSE,HIGH,HIGH,FALSE,LOW,ZERO,LOW,NORMAL,NORMAL,LOW,NORMAL,LOW,ZERO,HIGH,HIGH
NORMAL,FALSE,FALSE,FALSE,NORMAL,NORMAL,FALSE,LOW,ZERO,LOW,NORMAL,NORMAL,LOW,NORMAL,LOW,ZERO,HIGH,NORMAL
LOW,FALSE,TRUE,FALSE,HIGH,HIGH,FALSE,LOW,ZERO,LOW,NORMAL,NORMAL,LOW,NORMAL,LOW,ZERO,HIGH,LOW
NORMAL,FALSE,FALSE,FALSE,HIGH,HIGH,FALSE,LOW,ZERO,LOW,NORMAL,NORMAL,NORMAL,NORMAL,LOW,ZERO,HIGH,HIGH
HIGH,TRUE,FALSE,FALSE,HIGH,HIGH,FALSE,LOW,ZERO,LOW,NORMAL,NORMAL,HIGH,NORMAL,LOW,ZERO,HIGH,HIGH
NORMAL,FALSE,FALSE,FALSE,HIGH,HIGH,FALSE,LOW,ZERO,LOW,NORMAL,NORMAL,HIGH,NORMAL,ZERO,ZERO,HIGH,HIGH
NORMAL,FALSE,FALSE,FALSE,HIGH,HIGH,FALSE,LOW,ZERO,LOW,NORMAL,NORMAL,HIGH,NORMAL,ZERO,ZERO,HIGH,HIGH
NORMAL,FALSE,FALSE,FALSE,HIGH,NORMAL,FALSE,LOW,ZERO,LOW,HIGH,NORMAL,NORMAL,NORMAL,LOW,ZERO,HIGH,HIGH
NORMAL,FALSE,FALSE,FALSE,HIGH,HIGH,FALSE,HIGH,LOW,LOW,NORMAL,NORMAL,HIGH,NORMAL,NORMAL,LOW,HIGH,HIGH
HIGH,TRUE,FALSE,FALSE,LOW,LOW,FALSE,LOW,HIGH,HIGH,NORMAL,NORMAL,NORMAL,NORMAL,HIGH,HIGH,NORMAL,NORMAL
HIGH,TRUE,FALSE,FALSE,LOW,LOW,FALSE,LOW,ZERO,LOW,NORMAL,NORMAL,NORMAL,NORMAL,LOW,ZERO,HIGH,LOW
NORMAL,FALSE,FALSE,FALSE,HIGH,HIGH,FALSE,LOW,ZERO,LOW,NORMAL,NORMAL,HIGH,NORMAL,LOW,ZERO,HIGH,HIGH
HIGH,TRUE,FALSE,FALSE,HIGH,NORMAL,FALSE,LOW,ZERO,LOW,HIGH,NORMAL,HIGH,NORMAL,LOW,ZERO,HIGH,LOW
NORMAL,FALSE,FALSE,FALSE,HIGH,HIGH,FALSE,LOW,ZERO,LOW,NORMAL,NORMAL,NORMAL,NORMAL,LOW,ZERO,HIGH,HIGH
LOW,FALSE,FALSE,FALSE,LOW,LOW,FALSE,LOW,HIGH,HIGH,NORMAL,NORMAL,HIGH,NORMAL,ZERO,HIGH,NORMAL,NORMAL
NORMAL,FALSE,FALSE,FALSE,NORMAL,NORMAL,FALSE,LOW,HIGH,HIGH,HIGH,NORMAL,HIGH,HIGH,ZERO,HIGH,HIGH,HIGH
NORMAL,TRUE,FALSE,FALSE,HIGH,HIGH,FALSE,LOW,ZERO,LOW,NORMAL,NORMAL,NORMAL,NORMAL,LOW,ZERO,HIGH,LOW
NORMAL,FALSE,FALSE,FALSE,HIGH,HIGH,FALSE,LOW,ZERO,LOW,NORMAL,NORMAL,LOW,NORMAL,LOW,ZERO,HIGH,HIGH
HIGH,TRUE,FALSE,FALSE,HIGH,HIGH,FALSE,LOW,ZERO,LOW,LOW,NORMAL,LOW,NORMAL,LOW,ZERO,HIGH,LOW
NORMAL,FALSE,FALSE,FALSE,HIGH,LOW,FALSE,LOW,NORMAL,LOW,NORMAL,HIGH,LOW,NORMAL,ZERO,NORMAL,NORMAL,NORMAL
NORMAL,FALSE,FALSE,FALSE,HIGH,HIGH,FALSE,HIGH,ZERO,LOW,HIGH,NORMAL,LOW,NORMAL,LOW,ZERO,HIGH,HIGH
NORMAL,FALSE,FALSE,FALSE,HIGH,HIGH,FALSE,LOW,ZERO,LOW,NORMAL,NORMAL,HIGH,NORMAL,LOW,ZERO,HIGH,HIGH
LOW,FALSE,FALSE,FALSE,HIGH,HIGH,FALSE,LOW,HIGH,HIGH,NORMAL,NORMAL,LOW,NORMAL,HIGH,HIGH,HIGH,HIGH
NORMAL,FALSE,FALSE,FALSE,HIGH,HIGH,FALSE,LOW,ZERO,LOW,NORMAL,NORMAL,LOW,NORMAL,LOW,ZERO,HIGH,HIGH
NORMAL,FALSE,FALSE,FALSE,HIGH,HIGH,FALSE,LOW,ZERO,LOW,NORMAL,NORMAL,HIGH,NORMAL,LOW,ZERO,HIGH,HIGH
NORMAL,FALSE,FALSE,FALSE,LOW,LOW,FALSE,ZERO,HIGH,HIGH,HIGH,HIGH,LOW,HIGH,HIGH,HIGH,NORMAL,NORMAL
NORMAL,FALSE,FALSE,FALSE,HIGH,HIGH,FALSE,LOW,ZERO,LOW,NORMAL,NORMAL,NORMAL,NORMAL,LOW,ZERO,HIGH,HIGH
NORMAL,FALSE,FALSE,FALSE,LOW,HIGH,FALSE,LOW,ZERO,LOW,NORMAL,NORMAL,LOW,NORMAL,LOW,ZERO,NORMAL,NORMAL
HIGH,TRUE,FALSE,FALSE,HIGH,HIGH,FALSE,LOW,HIGH,HIGH,NORMAL,NORMAL,HIGH,LOW,ZERO,HIGH,HIGH,LOW
NORMAL,FALSE,FALSE,FALSE,HIGH,HIGH,FALSE,LOW,ZERO,LOW,NORMAL,NORMAL,HIGH,NORMAL,LOW,ZERO,HIGH,HIGH
NORMAL,FALSE,FALSE,FALSE,HIGH,HIGH,FALSE,NORMAL,ZERO,LOW,NORMAL,NORMAL,NORMAL,NORMAL,LOW,ZERO,HIGH,HIGH
HIGH,FALSE,FALSE,FALSE,HIGH,HIGH,FALSE,LOW,HIGH,HIGH,NORMAL,NORMAL,HIGH,NORMAL,ZERO,HIGH,HIGH,HIGH
NORMAL,FALSE,FALSE,FALSE,LOW,LOW,FALSE,LOW,ZERO,LOW,NORMAL,NORMAL,NORMAL,NORMAL,LOW,ZERO,HIGH,NORMAL
NORMAL,FALSE,FALSE,FALSE,HIGH,HIGH,FALSE,LOW,ZERO,LOW,HIGH,NORMAL,HIGH,NORMAL,LOW,ZERO,HIGH,HIGH
LOW,FALSE,TRUE,FALSE,NORMAL,NORMAL,FALSE,LOW,LOW,LOW,NORMAL,NORMAL,HIGH,NORMAL,LOW,LOW,HIGH,LOW
NORMAL,FALSE,FALSE,FALSE,NORMAL,NORMAL,FALSE,HIGH,LOW,LOW,NORMAL,NORMAL,HIGH,HIGH,NORMAL,LOW,HIGH,LOW
NORMAL,FALSE,FALSE,FALSE,HIGH,HIGH,FALSE,LOW,ZERO,LOW,NORMAL,NORMAL,HIGH,NORMAL,LOW,ZERO,HIGH,HIGH
HIGH,FALSE,FALSE,FALSE,HIGH,HIGH,FALSE,LOW,ZERO,LOW,LOW,NORMAL,LOW,NORMAL,LOW,ZERO,HIGH,HIGH
NORMAL,FALSE,FALSE,FALSE,HIGH,HIGH,FALSE,LOW,ZERO,LOW,LOW,NORMAL,HIGH,NORMAL,LOW,ZERO,HIGH,HIGH
NORMAL,FALSE,FALSE,FALSE,HIGH,HIGH,FALSE,ZERO,ZERO,LOW,NORMAL,NORMAL,LOW,NORMAL,LOW,ZERO,HIGH,HIGH
NORMAL,FALSE,FALSE,FALSE,HIGH,LOW,FALSE,LOW,ZERO,LOW,LOW,NORMAL,LOW,NORMAL,LOW,ZERO,HIGH,HIGH
NORMAL,FALSE,FALSE,TRUE,LOW,LOW,FALSE,LOW,HIGH,HIGH,NORMAL,NORMAL,LOW,HIGH,HIGH,HIGH,NORMAL,NORMAL
NORMAL,FALSE,FALSE,FALSE,NORMAL,HIGH,FALSE,ZERO,ZERO,HIGH,NORMAL,NORMAL,NORMAL,NORMAL,LOW,HIGH,HIGH,NORMAL
NORMAL,FALSE,FALSE,FALSE,HIGH,HIGH,FALSE,LOW,ZERO,LOW,NORMAL,NORMAL,HIGH,NORMAL,LOW,ZERO,HIGH,HIGH
HIGH,TRUE,FALSE,FALSE,HIGH,LOW,FALSE,LOW,ZERO,LOW,NORMAL,NORMAL,NORMAL,NORMAL,LOW,ZERO,HIGH,LOW
LOW,FALSE,FALSE,FALSE,HIGH,HIGH,FALSE,HIGH,LOW,LOW,NORMAL,NORMAL,HIGH,NORMAL,NORMAL,LOW,HIGH,LOW
LOW,FALSE,TRUE,FALSE,HIGH,HIGH,FALSE,LOW,ZERO,LOW,NORMAL,NORMAL,NORMAL,NORMAL,LOW,ZERO,HIGH,HIGH
NORMAL,FALSE,FALSE,FALSE,HIGH,HIGH,FALSE,LOW,ZERO,LOW,NORMAL,NORMAL,NORMAL,NORMAL,LOW,ZERO,HIGH,NORMAL
NORMAL,FALSE,FALSE,FALSE,HIGH,HIGH,FALSE,NORMAL,ZERO,LOW,NORMAL,NORMAL,HIGH,NORMAL,ZERO,ZERO,HIGH,LOW
NORMAL,FALSE,FALSE,FALSE,HIGH,HIGH,FALSE,LOW,ZERO,LOW,NORMAL,NORMAL,NORMAL,NORMAL,LOW,ZERO,NORMAL,HIGH
NORMAL,FALSE,FALSE,FALSE,HIGH,HIGH,FALSE,NORMAL,ZERO,LOW,NORMAL,NORMAL,NORMAL,NORMAL,LOW,NORMAL,HIGH,HIGH
NORMAL,FALSE,FALSE,FALSE,HIGH,HIGH,FALSE,LOW,ZERO,LOW,NORMAL,NORMAL,LOW,NORMAL,LOW,ZERO,HIGH,HIGH
NORMAL,FALSE,FALSE,FALSE,LOW,LOW,FALSE,LOW,ZERO,LOW,NORMAL,NORMAL,LOW,NORMAL,LOW,ZERO,HIGH,NORMAL
NORMAL,FALSE,TRUE,FALSE,NORMAL,NORMAL,FALSE,LOW,ZERO,LOW,LOW,NORMAL,HIGH,NORMAL,LOW,ZERO,HIGH,LOW
NORMAL,FALSE,FALSE,FALSE,HIGH,HIGH,FALSE,LOW,ZERO,LOW,NORMAL,NORMAL,HIGH,NORMAL,LOW,ZERO,HIGH,HIGH
HIGH,TRUE,FALSE,FALSE,HIGH,HIGH,FALSE,HIGH,LOW,LOW,NORMAL,NORMAL,HIGH,NORMAL,NORMAL,LOW,HIGH,LOW
NORMAL,FALSE,FALSE,FALSE,HIGH,HIGH,FALSE,LOW,ZERO,LOW,NORMAL,NORMAL,HIGH,NORMAL,LOW,ZERO,HIGH,HIGH
NORMAL,FALSE,FALSE,FALSE,HIGH,HIGH,FALSE,LOW,ZERO,LOW,NORMAL,NORMAL,NORMAL,NORMAL,LOW,ZERO,HIGH,HIGH
LOW,FALSE,FALSE,FALSE,LOW,LOW,FALSE,LOW,ZERO,LOW,NORMAL,NORMAL,LOW,NORMAL,LOW,ZERO,HIGH,HIGH
NORMAL,FALSE,FALSE,FALSE,LOW,LOW,FALSE,ZERO,ZERO,HIGH,NORMAL,NORMAL,HIGH,NORMAL,LOW,HIGH,HIGH,NORMAL
HIGH,FALSE,FALSE,FALSE,HIGH,HIGH,FALSE,LOW,ZERO,LOW,NORMAL,NORMAL,HIGH,NORMAL,LOW,ZERO,HIGH,HIGH
NORMAL,FALSE,FALSE,FALSE,LOW,LOW,FALSE,LOW,ZERO,NORMAL,NORMAL,NORMAL,LOW,HIGH,HIGH,HIGH,NORMAL,NORMAL
LOW,FALSE,FALSE,FALSE,HIGH,HIGH,FALSE,ZERO,ZERO,LOW,NORMAL,NORMAL,LOW,NORMAL,LOW,ZERO,HIGH,HIGH
NORMAL,FALSE,FALSE,FALSE,HIGH,HIGH,FALSE,LOW,ZERO,LOW,NORMAL,NORMAL,LOW,NORMAL,LOW,ZERO,HIGH,LOW
NORMAL,FALSE,FALSE,FALSE,HIGH,HIGH,FALSE,LOW,ZERO,LOW,NORMAL,NORMAL,HIGH,NORMAL,LOW,ZERO,HIGH,HIGH
HIGH,TRUE,FALSE,FALSE,HIGH,HIGH,FALSE,LOW,ZERO,LOW,NORMAL,NORMAL,LOW,NORMAL,LOW,ZERO,HIGH,HIGH
NORMAL,FALSE,FALSE,FALSE,LOW,LOW,FALSE,LOW,ZERO,LOW,NORMAL,NORMAL,LOW,NORMAL,LOW,ZERO,HIGH,NORMAL
NORMAL,FALSE,FALSE,FALSE,HIGH,HIGH,FALSE,LOW,ZERO,LOW,NORMAL,NORMAL,NORMAL,NORMAL,LOW,ZERO,HIGH,HIGH
HIGH,FALSE,FALSE,FALSE,HIGH,HIGH,FALSE,ZERO,NORMAL,LOW,NORMAL,HIGH,NORMAL,NORMAL,ZERO,NORMAL,HIGH,NORMAL
NORMAL,TRUE,FALSE,FALSE,HIGH,HIGH,FALSE,LOW,ZERO,LOW,NORMAL,NORMAL,NORMAL,NORMAL,LOW,ZERO,HIGH,HIGH
NORMAL,FALSE,FALSE,FALSE,HIGH,HIGH,FALSE,LOW,ZERO,LOW,NORMAL,NORMAL,LOW,NORMAL,LOW,ZERO,HIGH,HIGH
HIGH,FALSE,FALSE,FALSE,HIGH,HIGH,FALSE,HIGH,HIGH,LOW,NORMAL,HIGH,HIGH,NORMAL,HIGH,LOW,HIGH,HIGH
NORMAL,FALSE,FALSE,FALSE,LOW,LOW,FALSE,LOW,HIGH,HIGH,NORMAL,HIGH,HIGH,NORMAL,ZERO,HIGH,NORMAL,NORMAL
NORMAL,FALSE,FALSE,FALSE,HIGH,HIGH,FALSE,LOW,ZERO,LOW,HIGH,NORMAL,HIGH,NORMAL,LOW,ZERO,HIGH,HIGH
NORMAL,FALSE,FALSE,FALSE,HIGH,HIGH,FALSE,LOW,ZERO,LOW,NORMAL,NORMAL,NORMAL,NORMAL,LOW,ZERO,HIGH,HIGH
HIGH,TRUE,FALSE,FALSE,LOW,HIGH,FALSE,LOW,HIGH,HIGH,NORMAL,NORMAL,HIGH,NORMAL,ZERO,HIGH,HIGH,LOW
NORMAL,FALSE,FALSE,FALSE,HIGH,HIGH,FALSE,LOW,ZERO,LOW,NORMAL,NORMAL,HIGH,NORMAL,LOW,ZERO,HIGH,HIGH
HIGH,TRUE,FALSE,FALSE,NORMAL,NORMAL,FALSE,LOW,ZERO,LOW,NORMAL,NORMAL,HIGH,NORMAL,LOW,ZERO,HIGH,LOW
NORMAL,FALSE,FALSE,FALSE,HIGH,HIGH,FALSE,LOW,ZERO,LOW,NORMAL,NORMAL,HIGH,NORMAL,LOW,ZERO,HIGH,HIGH
HIGH,TRUE,FALSE,TRUE,LOW,LOW,FALSE,LOW,ZERO,LOW,NORMAL,NORMAL,LOW,NORMAL,LOW,ZERO,NORMAL,LOW
NORMAL,TRUE,FALSE,FALSE,HIGH,HIGH,FALSE,LOW,ZERO,LOW,HIGH,HIGH,NORMAL,NORMAL,LOW,ZERO,HIGH,HIGH
NORMAL,FALSE,FALSE,FALSE,HIGH,HIGH,FALSE,LOW,ZERO,LOW,NORMAL,NORMAL,HIGH,NORMAL,LOW,ZERO,HIGH,HIGH
NORMAL,FALSE,FALSE,FALSE,HIGH,HIGH,FALSE,LOW,ZERO,LOW,NORMAL,NORMAL,HIGH,NORMAL,LOW,ZERO,HIGH,HIGH
NORMAL,FALSE,FALSE,FALSE,LOW,LOW,FALSE,LOW,HIGH,NORMAL,NORMAL,NORMAL,HIGH,NORMAL,ZERO,HIGH,HIGH,NORMAL
NORMAL,TRUE,FALSE,FALSE,LOW,LOW,FALSE,ZERO,ZERO,HIGH,NORMAL,NORMAL,HIGH,NORMAL,LOW,HIGH,NORMAL,LOW
NORMAL,FALSE,FALSE,FALSE,HIGH,HIGH,FALSE,LOW,ZERO,LOW,NORMAL,NORMAL,LOW,NORMAL,LOW,ZERO,HIGH,HIGH
NORMAL,FALSE,FALSE,FALSE,LOW,LOW,FALSE,LOW,ZERO,LOW,NORMAL,HIGH,NORMAL,NORMAL,LOW,ZERO,HIGH,NORMAL
LOW,FALSE,TRUE,FALSE,HIGH,HIGH,FALSE,NORMAL,ZERO,LOW,NORMAL,HIGH,HIGH,NORMAL,LOW,LOW,HIGH,LOW
NORMAL,FALSE,FALSE,TRUE,HIGH,HIGH,FALSE,LOW,ZERO,LOW,NORMAL,NORMAL,NORMAL,NORMAL,LOW,ZERO,HIGH,HIGH
NORMAL,FALSE,FALSE,FALSE,HIGH,HIGH,FALSE,LOW,HIGH,HIGH,NORMAL,NORMAL,HIGH,NORMAL,ZERO,HIGH,HIGH,HIGH
LOW,FALSE,TRUE,FALSE,LOW,LOW,FALSE,ZERO,ZERO,LOW,NORMAL,NORMAL,NORMAL,NORMAL,LOW,ZERO,NORMAL,LOW
LOW,FALSE,FALSE,FALSE,LOW,LOW,FALSE,HIGH,LOW,LOW,NORMAL,NORMAL,HIGH,NORMAL,LOW,LOW,HIGH,NORMAL
NORMAL,FALSE,FALSE,FALSE,HIGH,HIGH,FALSE,LOW,ZERO,LOW,NORMAL,NORMAL,HIGH,NORMAL,LOW,ZERO,HIGH,HIGH
NORMAL,FALSE,FALSE,FALSE,LOW,LOW,FALSE,LOW,ZERO,LOW,NORMAL,NORMAL,HIGH,NORMAL,LOW,ZERO,HIGH,NORMAL
NORMAL,FALSE,FALSE,FALSE,NORMAL,NORMAL,FALSE,LOW,NORMAL,HIGH,NORMAL,NORMAL,HIGH,NORMAL,ZERO,HIGH,HIGH,HIGH
NORMAL,FALSE,FALSE,FALSE,HIGH,HIGH,FALSE,LOW,ZERO,LOW,NORMAL,NORMAL,HIGH,NORMAL,LOW,ZERO,HIGH,LOW
HIGH,TRUE,FALSE,FALSE,LOW,LOW,FALSE,LOW,LOW,LOW,NORMAL,NORMAL,HIGH,NORMAL,LOW,LOW,NORMAL,NORMAL
HIGH,FALSE,FALSE,FALSE,HIGH,HIGH,FALSE,LOW,ZERO,LOW,NORMAL,NORMAL,LOW,NORMAL,LOW,ZERO,HIGH,HIGH
LOW,FALSE,FALSE,FALSE,HIGH,HIGH,FALSE,LOW,ZERO,LOW,NORMAL,NORMAL,NORMAL,NORMAL,LOW,ZERO,HIGH,HIGH
NORMAL,TRUE,FALSE,FALSE,HIGH,HIGH,FALSE,LOW,ZERO,LOW,NORMAL,NORMAL,HIGH,NORMAL,LOW,ZERO,HIGH,HIGH
NORMAL,FALSE,FALSE,FALSE,NORMAL,NORMAL,FALSE,LOW,ZERO,LOW,NORMAL,NORMAL,HIGH,NORMAL,LOW,ZERO,HIGH,HIGH
LOW,FALSE,FALSE,FALSE,HIGH,HIGH,FALSE,LOW,HIGH,HIGH,NORMAL,NORMAL,HIGH,NORMAL,ZERO,HIGH,HIGH,HIGH
LOW,FALSE,FALSE,FALSE,HIGH,HIGH,FALSE,LOW,ZERO,LOW,NORMAL,NORMAL,LOW,NORMAL,LOW,ZERO,HIGH,HIGH
HIGH,TRUE,FALSE,FALSE,HIGH,HIGH,FALSE,LOW,ZERO,LOW,NORMAL,NORMAL,LOW,NORMAL,LOW,ZERO,HIGH,LOW
NORMAL,FALSE,FALSE,FALSE,LOW,LOW,FALSE,LOW,HIGH,HIGH,NORMAL,NORMAL,HIGH,HIGH,ZERO,HIGH,NORMAL,NORMAL
NORMAL,FALSE,FALSE,FALSE,HIGH,HIGH,FALSE,NORMAL,ZERO,LOW,NORMAL,NORMAL,HIGH,NORMAL,LOW,ZERO,HIGH,HIGH
NORMAL,FALSE,FALSE,FALSE,LOW,HIGH,FALSE,LOW,ZERO,LOW,NORMAL,NORMAL,LOW,NORMAL,LOW,ZERO,HIGH,HIGH
