real,string,string,string
62,4.0_4.5,1.5_1.7,Iris-versicolor
63,4.0_4.5,0.6_1.3,Iris-versicolor
64,4.5_4.8,1.3_1.5,Iris-versicolor
65,1.7_4.0,1.3_1.5,Iris-versicolor
66,4.0_4.5,1.3_1.5,Iris-versicolor
67,4.5_4.8,1.5_1.7,Iris-versicolor
68,4.0_4.5,0.6_1.3,Iris-versicolor
69,4.5_4.8,1.5_1.7,Iris-versicolor
70,1.7_4.0,0.6_1.3,Iris-versicolor
71,4.8_5.2,1.7_2.0,Iris-versicolor
72,4.0_4.5,1.3_1.5,Iris-versicolor
73,4.8_5.2,1.5_1.7,Iris-versicolor
74,4.5_4.8,0.6_1.3,Iris-versicolor
75,4.0_4.5,1.3_1.5,Iris-versicolor
76,4.0_4.5,1.3_1.5,Iris-versicolor
77,4.8_5.2,1.3_1.5,Iris-versicolor
78,4.8_5.2,1.7_2.0,Iris-versicolor
79,4.5_4.8,1.5_1.7,Iris-versicolor
80,1.7_4.0,0.6_1.3,Iris-versicolor
81,1.7_4.0,0.6_1.3,Iris-versicolor
82,1.7_4.0,0.6_1.3,Iris-versicolor
83,1.7_4.0,0.6_1.3,Iris-versicolor
84,4.8_5.2,1.5_1.7,Iris-versicolor
85,4.5_4.8,1.5_1.7,Iris-versicolor
86,4.5_4.8,1.5_1.7,Iris-versicolor
87,4.5_4.8,1.5_1.7,Iris-versicolor
88,4.0_4.5,1.3_1.5,Iris-versicolor
89,4.0_4.5,1.3_1.5,Iris-versicolor
90,4.0_4.5,1.3_1.5,Iris-versicolor
91,4.0_4.5,0.6_1.3,Iris-versicolor
92,4.5_4.8,1.3_1.5,Iris-versicolor
93,4.0_4.5,0.6_1.3,Iris-versicolor
94,1.7_4.0,0.6_1.3,Iris-versicolor
95,4.0_4.5,1.3_1.5,Iris-versicolor
96,4.0_4.5,0.6_1.3,Iris-versicolor
97,4.0_4.5,1.3_1.5,Iris-versicolor
98,4.0_4.5,1.3_1.5,Iris-versicolor
99,1.7_4.0,0.6_1.3,Iris-versicolor
100,4.0_4.5,1.3_1.5,Iris-versicolor
101,5.7_6.969,2.0_2.525,Iris-virginica
102,4.8_5.2,1.7_2.0,Iris-virginica
103,5.7_6.969,2.0_2.525,Iris-virginica
104,5.2_5.7,1.7_2.0,Iris-virginica
105,5.7_6.969,2.0_2.525,Iris-virginica
106,5.7_6.969,2.0_2.525,Iris-virginica
107,4.5_4.8,1.7_2.0,Iris-virginica
108,5.7_6.969,1.7_2.0,Iris-virginica
109,5.7_6.969,1.7_2.0,Iris-virginica
110,5.7_6.969,2.0_2.525,Iris-virginica
111,4.8_5.2,2.0_2.525,Iris-virginica
112,5.2_5.7,1.7_2.0,Iris-virginica
113,5.2_5.7,2.0_2.525,Iris-virginica
114,4.8_5.2,2.0_2.525,Iris-virginica
115,4.8_5.2,2.0_2.525,Iris-virginica
116,5.2_5.7,2.0_2.525,Iris-virginica
117,5.2_5.7,1.7_2.0,Iris-virginica
118,5.7_6.969,2.0_2.525,Iris-virginica
119,5.7_6.969,2.0_2.525,Iris-virginica
120,4.8_5.2,1.5_1.7,Iris-virginica
121,5.7_6.969,2.0_2.525,Iris-virginica
122,4.8_5.2,2.0_2.525,Iris-virginica
123,5.7_6.969,2.0_2.525,Iris-virginica
124,4.8_5.2,1.7_2.0,Iris-virginica
125,5.7_6.969,2.0_2.525,Iris-virginica
126,5.7_6.969,1.7_2.0,Iris-virginica
127,4.8_5.2,1.7_2.0,Iris-virginica
128,4.8_5.2,1.7_2.0,Iris-virginica
129,5.2_5.7,2.0_2.525,Iris-virginica
130,5.7_6.969,1.5_1.7,Iris-virginica
131,5.7_6.969,1.7_2.0,Iris-virginica
132,5.7_6.969,2.0_2.525,Iris-virginica
133,5.2_5.7,2.0_2.525,Iris-virginica
134,4.8_5.2,1.5_1.7,Iris-virginica
135,5.2_5.7,1.3_1.5,Iris-virginica
136,5.7_6.969,2.0_2.525,Iris-virginica
137,5.2_5.7,2.0_2.525,Iris-virginica
138,5.2_5.7,1.7_2.0,Iris-virginica
139,4.8_5.2,1.7_2.0,Iris-virginica
140,5.2_5.7,2.0_2.525,Iris-virginica
141,5.2_5.7,2.0_2.525,Iris-virginica
142,4.8_5.2,2.0_2.525,Iris-virginica
143,4.8_5.2,1.7_2.0,Iris-virginica
144,5.7_6.969,2.0_2.525,Iris-virginica
145,5.7_6.969,2.0_2.525,Iris-virginica
146,5.2_5.7,2.0_2.525,Iris-virginica
147,4.8_5.2,1.7_2.0,Iris-virginica
148,5.2_5.7,2.0_2.525,Iris-virginica
149,5.2_5.7,2.0_2.525,Iris-virginica
150,4.8_5.2,1.7_2.0,Iris-virginica
