real,string,string,string,string,string
57,6.1_6.4,3.3_3.5,?,1.5_1.7,Iris-versicolor
58,4.9_5.1,2.0_2.6,1.7_4.0,0.6_1.3,Iris-versicolor
59,?,2.9_3.1,4.5_4.8,1.3_1.5,?
60,?,2.6_2.9,1.7_4.0,1.3_1.5,Iris-versicolor
61,4.9_5.1,2.0_2.6,1.7_4.0,0.6_1.3,Iris-versicolor
62,5.8_6.1,2.9_3.1,4.0_4.5,1.5_1.7,Iris-versicolor
63,5.8_6.1,2.0_2.6,4.0_4.5,0.6_1.3,Iris-versicolor
64,6.1_6.4,?,4.5_4.8,1.3_1.5,Iris-versicolor
65,?,2.9_3.1,1.7_4.0,1.3_1.5,Iris-versicolor
66,6.4_6.8,3.1_3.3,4.0_4.5,1.3_1.5,?
67,5.5_5.8,2.9_3.1,4.5_4.8,1.5_1.7,Iris-versicolor
68,5.8_6.1,2.6_2.9,4.0_4.5,0.6_1.3,Iris-versicolor
69,6.1_6.4,2.0_2.6,4.5_4.8,1.5_1.7,Iris-versicolor
70,5.5_5.8,2.0_2.6,1.7_4.0,0.6_1.3,Iris-versicolor
71,5.8_6.1,3.1_3.3,4.8_5.2,1.7_2.0,?
72,6.1_6.4,2.6_2.9,4.0_4.5,1.3_1.5,Iris-versicolor
73,6.1_6.4,2.0_2.6,4.8_5.2,1.5_1.7,Iris-versicolor
74,?,2.6_2.9,4.5_4.8,0.6_1.3,?
75,6.4_6.8,2.9_3.1,4.0_4.5,1.3_1.5,Iris-versicolor
76,6.4_6.8,2.9_3.1,4.0_4.5,1.3_1.5,Iris-versicolor
77,6.8_7.979,2.6_2.9,4.8_5.2,1.3_1.5,Iris-versicolor
78,6.4_6.8,2.9_3.1,?,1.7_2.0,Iris-versicolor
79,5.8_6.1,2.9_3.1,4.5_4.8,1.5_1.7,Iris-versicolor
80,5.5_5.8,2.6_2.9,1.7_4.0,0.6_1.3,Iris-versicolor
81,5.5_5.8,2.0_2.6,1.7_4.0,0.6_1.3,Iris-versicolor
82,5.5_5.8,2.0_2.6,1.7_4.0,0.6_1.3,Iris-versicolor
83,5.8_6.1,2.6_2.9,1.7_4.0,0.6_1.3,Iris-versicolor
84,5.8_6.1,2.6_2.9,4.8_5.2,1.5_1.7,Iris-versicolor
85,5.1_5.5,2.9_3.1,4.5_4.8,1.5_1.7,Iris-versicolor
86,5.8_6.1,3.3_3.5,4.5_4.8,1.5_1.7,Iris-versicolor
87,6.4_6.8,3.1_3.3,?,1.5_1.7,Iris-versicolor
88,6.1_6.4,2.0_2.6,4.0_4.5,1.3_1.5,Iris-versicolor
89,5.5_5.8,2.9_3.1,4.0_4.5,1.3_1.5,Iris-versicolor
90,5.5_5.8,2.0_2.6,?,1.3_1.5,Iris-versicolor
91,5.5_5.8,2.6_2.9,4.0_4.5,0.6_1.3,Iris-versicolor
92,6.1_6.4,2.9_3.1,4.5_4.8,1.3_1.5,Iris-versicolor
93,5.8_6.1,2.6_2.9,4.0_4.5,0.6_1.3,Iris-versicolor
94,4.9_5.1,2.0_2.6,1.7_4.0,0.6_1.3,Iris-versicolor
95,5.5_5.8,2.6_2.9,4.0_4.5,1.3_1.5,Iris-versicolor
96,5.5_5.8,2.9_3.1,4.0_4.5,?,Iris-versicolor
97,5.5_5.8,2.9_3.1,4.0_4.5,1.3_1.5,Iris-versicolor
98,6.1_6.4,2.9_3.1,4.0_4.5,1.3_1.5,Iris-versicolor
99,5.1_5.5,2.0_2.6,1.7_4.0,0.6_1.3,Iris-versicolor
100,5.5_5.8,2.6_2.9,4.0_4.5,1.3_1.5,Iris-versicolor
101,?,3.3_3.5,5.7_6.969,2.0_2.525,Iris-virginica
102,5.8_6.1,2.6_2.9,4.8_5.2,1.7_2.0,Iris-virginica
103,6.8_7.979,2.9_3.1,5.7_6.969,2.0_2.525,Iris-virginica
104,6.1_6.4,?,5.2_5.7,1.7_2.0,Iris-virginica
105,6.4_6.8,2.9_3.1,5.7_6.969,2.0_2.525,Iris-virginica
106,6.8_7.979,2.9_3.1,5.7_6.969,2.0_2.525,Iris-virginica
107,4.9_5.1,2.0_2.6,4.5_4.8,1.7_2.0,Iris-virginica
108,6.8_7.979,2.9_3.1,5.7_6.969,1.7_2.0,Iris-virginica
109,6.4_6.8,2.0_2.6,5.7_6.969,1.7_2.0,Iris-virginica
110,6.8_7.979,3.5_4.444000000000001,5.7_6.969,2.0_2.525,Iris-virginica
111,6.4_6.8,3.1_3.3,4.8_5.2,2.0_2.525,Iris-virginica
112,6.4_6.8,?,5.2_5.7,1.7_2.0,Iris-virginica
113,6.8_7.979,2.9_3.1,5.2_5.7,2.0_2.525,Iris-virginica
114,5.5_5.8,2.0_2.6,4.8_5.2,2.0_2.525,Iris-virginica
115,5.8_6.1,2.6_2.9,4.8_5.2,2.0_2.525,Iris-virginica
116,6.4_6.8,3.1_3.3,5.2_5.7,2.0_2.525,Iris-virginica
117,6.4_6.8,2.9_3.1,5.2_5.7,1.7_2.0,Iris-virginica
118,6.8_7.979,3.5_4.444000000000001,5.7_6.969,2.0_2.525,Iris-virginica
119,6.8_7.979,2.6_2.9,5.7_6.969,2.0_2.525,Iris-virginica
120,5.8_6.1,2.0_2.6,?,1.5_1.7,Iris-virginica
121,6.8_7.979,3.1_3.3,?,2.0_2.525,Iris-virginica
122,?,2.6_2.9,4.8_5.2,2.0_2.525,Iris-virginica
123,6.8_7.979,2.6_2.9,5.7_6.969,2.0_2.525,Iris-virginica
124,6.1_6.4,2.6_2.9,4.8_5.2,1.7_2.0,Iris-virginica
125,6.4_6.8,3.3_3.5,5.7_6.969,2.0_2.525,Iris-virginica
126,6.8_7.979,3.1_3.3,5.7_6.969,1.7_2.0,Iris-virginica
127,6.1_6.4,2.6_2.9,4.8_5.2,1.7_2.0,Iris-virginica
128,6.1_6.4,2.9_3.1,4.8_5.2,1.7_2.0,Iris-virginica
129,6.4_6.8,2.6_2.9,5.2_5.7,2.0_2.525,Iris-virginica
130,6.8_7.979,2.9_3.1,5.7_6.969,1.5_1.7,Iris-virginica
131,6.8_7.979,2.6_2.9,5.7_6.969,1.7_2.0,Iris-virginica
132,6.8_7.979,3.5_4.444000000000001,5.7_6.969,2.0_2.525,Iris-virginica
133,6.4_6.8,2.6_2.9,5.2_5.7,2.0_2.525,Iris-virginica
134,6.1_6.4,2.6_2.9,4.8_5.2,1.5_1.7,Iris-virginica
135,6.1_6.4,2.6_2.9,5.2_5.7,1.3_1.5,Iris-virginica
136,6.8_7.979,2.9_3.1,5.7_6.969,2.0_2.525,Iris-virginica
137,6.1_6.4,3.3_3.5,5.2_5.7,2.0_2.525,Iris-virginica
138,6.4_6.8,3.1_3.3,5.2_5.7,1.7_2.0,Iris-virginica
139,5.8_6.1,2.9_3.1,4.8_5.2,1.7_2.0,Iris-virginica
140,6.8_7.979,3.1_3.3,5.2_5.7,?,Iris-virginica
141,6.4_6.8,3.1_3.3,5.2_5.7,2.0_2.525,Iris-virginica
142,6.8_7.979,3.1_3.3,4.8_5.2,2.0_2.525,Iris-virginica
143,5.8_6.1,2.6_2.9,4.8_5.2,1.7_2.0,Iris-virginica
144,6.8_7.979,3.1_3.3,5.7_6.969,2.0_2.525,Iris-virginica
145,6.4_6.8,3.3_3.5,5.7_6.969,2.0_2.525,Iris-virginica
146,6.4_6.8,2.9_3.1,5.2_5.7,2.0_2.525,Iris-virginica
147,6.1_6.4,2.0_2.6,4.8_5.2,1.7_2.0,Iris-virginica
148,6.4_6.8,?,5.2_5.7,2.0_2.525,Iris-virginica
149,6.1_6.4,3.3_3.5,5.2_5.7,2.0_2.525,Iris-virginica
150,5.8_6.1,2.9_3.1,4.8_5.2,1.7_2.0,Iris-virginica
