number,number,number,number,string
1.8,6.0,3.2,5.7,Iris-virginica
1.3,4.9,2.2,4.0,Iris-versicolor
1.0,5.9,2.9,4.9,Iris-versicolor
0.4,5.5,4.1,1.5,Iris-setosa
1.5,6.7,2.9,4.7,Iris-versicolor
2.1,6.1,3.0,4.9,Iris-virginica
1.5,4.7,2.8,4.7,Iris-versicolor
0.1,4.6,3.5,1.4,Iris-setosa
1.3,4.9,3.0,4.3,Iris-versicolor
0.4,4.8,3.2,1.5,Iris-setosa
1.9,6.4,2.8,4.8,Iris-virginica
1.9,6.4,3.0,5.3,Iris-virginica
0.2,5.1,3.4,1.5,Iris-setosa
2.0,7.3,2.9,5.8,Iris-virginica
2.5,6.7,2.8,5.8,Iris-virginica
2.1,6.9,2.8,5.3,Iris-virginica
1.5,6.7,3.0,4.2,Iris-versicolor
0.4,5.2,3.2,1.5,Iris-setosa
0.2,5.0,3.0,1.5,Iris-setosa
1.9,6.3,3.8,5.5,Iris-virginica
1.4,6.2,3.1,4.3,Iris-versicolor
2.4,5.9,3.1,5.6,Iris-virginica
2.4,6.7,4.2,5.8,Iris-virginica
2.5,7.1,2.7,5.5,Iris-virginica
0.3,5.7,3.8,1.7,Iris-setosa
2.0,7.2,3.2,4.9,Iris-virginica
1.2,6.8,3.2,4.9,Iris-versicolor
2.3,5.6,3.0,5.9,Iris-virginica
2.0,7.7,3.3,6.1,Iris-virginica
0.4,4.8,3.2,1.5,Iris-setosa
1.3,4.8,3.9,1.5,Iris-setosa
2.1,7.3,3.2,6.7,Iris-virginica
1.1,5.7,3.2,4.4,Iris-versicolor
1.0,6.4,3.2,4.7,Iris-versicolor
2.0,6.8,2.6,5.4,Iris-virginica
0.2,5.4,3.9,1.3,Iris-setosa
0.3,4.5,3.0,1.4,Iris-setosa
1.3,5.6,2.4,4.5,Iris-versicolor
2.3,7.9,3.3,5.8,Iris-virginica
1.3,6.7,3.0,4.0,Iris-versicolor
2.1,6.3,3.3,5.8,Iris-virginica
0.2,5.0,3.0,1.3,Iris-setosa
1.5,6.4,3.0,5.7,Iris-virginica
1.8,5.5,3.1,5.0,Iris-virginica
1.5,5.8,3.2,4.9,Iris-virginica
1.4,5.7,3.1,4.4,Iris-versicolor
2.3,7.4,3.1,5.1,Iris-virginica
1.8,6.9,3.0,5.1,Iris-virginica
0.2,5.0,4.4,1.2,Iris-setosa
0.5,4.4,3.9,1.4,Iris-setosa
1.8,5.8,2.9,5.4,Iris-virginica
0.2,5.2,2.9,1.5,Iris-setosa
1.9,6.5,3.3,6.7,Iris-virginica
2.3,6.4,2.5,5.1,Iris-virginica
2.1,6.4,2.6,5.6,Iris-virginica
0.4,4.5,3.8,1.5,Iris-setosa
2.3,5.6,2.2,4.7,Iris-versicolor
