real,real,real,real,real,string
137,6.3,3.4,?,?,Iris-virginica
138,6.4,?,5.5,1.8,Iris-virginica
139,6.0,3.0,4.8,?,?
140,6.9,3.1,?,2.1,Iris-virginica
141,6.7,?,?,2.4,Iris-virginica
142,6.9,3.1,5.1,2.3,Iris-virginica
143,5.8,2.7,5.1,1.9,Iris-virginica
144,6.8,?,5.9,2.3,?
145,6.7,3.3,5.7,2.5,Iris-virginica
146,?,?,5.2,?,Iris-virginica
147,6.3,2.5,5.0,?,Iris-virginica
148,6.5,3.0,5.2,2.0,?
149,6.2,3.4,5.4,2.3,?
150,5.9,3.0,?,1.8,Iris-virginica
